Year,month,NumArticles
1969,1,9969
1969,2,8799
1969,3,10029
1969,4,9123
1969,5,9336
1969,6,8360
1969,7,8392
1969,8,8500
1969,9,8728
1969,10,9308
1969,11,9465
1969,12,9117
1970,1,9374
1970,2,8090
1970,3,8891
1970,4,8133
1970,5,8664
1970,6,8482
1970,7,8198
1970,8,8394
1970,9,8552
1970,10,9133
1970,11,8444
1970,12,8318
1971,1,8852
1971,2,7638
1971,3,8296
1971,4,7827
1971,5,8085
1971,6,7620
1971,7,7602
1971,8,7084
1971,9,7452
1971,10,8278
1971,11,7919
1971,12,7782
1972,1,8244
1972,2,7616
1972,3,8026
1972,4,7837
1972,5,7667
1972,6,7341
1972,7,7525
1972,8,7383
1972,9,8417
1972,10,8668
1972,11,8743
1972,12,9082
1973,1,8700
1973,2,7644
1973,3,8668
1973,4,8426
1973,5,8329
1973,6,8236
1973,7,7811
1973,8,7612
1973,9,7955
1973,10,8310
1973,11,7959
1973,12,8136
1974,1,8255
1974,2,7574
1974,3,8619
1974,4,8007
1974,5,8333
1974,6,7971
1974,7,7995
1974,8,7996
1974,9,7995
1974,10,8380
1974,11,8357
1974,12,7933
1975,1,8287
1975,2,7339
1975,3,8400
1975,4,8159
1975,5,8362
1975,6,7750
1975,7,7655
1975,8,7787
1975,9,8031
1975,10,8199
1975,11,8400
1975,12,8006
1976,1,8056
1976,2,7161
1976,3,7804
1976,4,7773
1976,5,8057
1976,6,7808
1976,7,7762
1976,8,7672
1976,9,7212
1976,10,7728
1976,11,7420
1976,12,7446
1977,1,7903
1977,2,7031
1977,3,8046
1977,4,7782
1977,5,7752
1977,6,7639
1977,7,7673
1977,8,7636
1977,9,7667
1977,10,7910
1977,11,7680
1977,12,7704
1978,1,7105
1978,2,6712
1978,3,7212
1978,4,7472
1978,5,7346
1978,6,7257
1978,7,7149
1978,8,1782
1978,9,Unknown
1978,10,Unknown
1978,11,5827
1978,12,7010
1979,1,6624
1979,2,6331
1979,3,7149
1979,4,6652
1979,5,7011
1979,6,6791
1979,7,6319
1979,8,6427
1979,9,6879
1979,10,6982
1979,11,6843
1979,12,7177
1980,1,6814
1980,2,6462
1980,3,7005
1980,4,6765
1980,5,7420
1980,6,12436
1980,7,11976
1980,8,12593
1980,9,13506
1980,10,15053
1980,11,13767
1980,12,13091
1981,1,7532
1981,2,6275
1981,3,6888
1981,4,7259
1981,5,7888
1981,6,7782
1981,7,7242
1981,8,7501
1981,9,7539
1981,10,9348
1981,11,8297
1981,12,7789
1982,1,8352
1982,2,7719
1982,3,7351
1982,4,7865
