Year,NumArticles
1969,210
1970,289
1971,215
1972,346
1973,310
1974,288
1975,319
1976,433
1977,499
1978,414
1979,522
1980,926
1981,1149
1982,812
1983,789
1984,857
1985,1122
1986,1876
1987,835
1988,833
1989,667
1990,520
1991,616
1992,442
1993,874
1994,602
1995,1249
1996,1196
1997,1008
1998,1051
1999,858
2000,805
2001,9915
2002,9276
2003,8796
2004,7998
2005,3559
2006,4381
2007,3575
2008,2532
2009,2460
2010,2306
2011,2041
2012,1625
2013,1847
2014,2254
2015,3326
